mac_id,total_times,total_days
1805142,11,4
1805596,11,2
1806821,11,5
1806944,11,10
18084,11,3
181193,11,1
1814597,11,6
1816753,11,7
1817432,11,8
1818648,11,8
1818726,11,1
1819078,11,6
1821193,11,2
1821770,11,5
1822338,11,3
182350,11,3
182497,11,2
1825336,11,2
1825771,11,1
182782,11,3
1830042,11,5
1830239,11,5
1832017,11,2
183347,11,9
1838215,11,1
1838427,11,5
1843606,11,6
1844350,11,3
184438,11,3
1845999,11,5
1854029,11,2
185641,11,6
1858630,11,2
1859096,11,7
186177,11,7
1863053,11,1
186405,11,1
1867818,11,9
186853,11,6
1868889,11,7
1868977,11,5
186970,11,3
1870426,11,3
187187,11,3
1872131,11,3
1874153,11,7
1875187,11,1
1877478,11,6
1881770,11,4
1883282,11,1
1883366,11,3
1883938,11,1
1884766,11,7
189656,11,7
189812,11,1
1898340,11,2
1901157,11,1
190242,11,4
1903930,11,1
1907220,11,4
1907680,11,4
1911214,11,4
191285,11,5
192321,11,2
1925449,11,6
1930000,11,1
1931167,11,1
1934448,11,1
194042,11,3
194135,11,3
1942750,11,3
1948542,11,4
1962568,11,4
1964993,11,2
1968507,11,6
197772,11,6
1977920,11,2
198192,11,4
198846,11,1
19907,11,2
1992680,11,2
1995161,11,7
1995611,11,1
1999487,11,4
2000095,11,5
200128,11,10
2002204,11,2
2003037,11,4
2003500,11,1
2005945,11,1
2006722,11,1
200794,11,2
2011814,11,7
2011941,11,3
2013711,11,2
2017370,11,2
202155,11,2
2026656,11,2
202940,11,2
203131,11,4
203165,11,8
2031950,11,2
2032787,11,6
203406,11,7
2036227,11,8
2036858,11,2
203788,11,3
2042147,11,3
2042771,11,1
2044735,11,3
2045698,11,1
2046064,11,1
204780,11,6
204838,11,4
2049279,11,3
2062460,11,10
2067338,11,5
207218,11,4
2073286,11,1
207341,11,7
2075526,11,5
207773,11,2
2077919,11,6
207822,11,7
208575,11,3
2091761,11,2
2091948,11,6
2093629,11,2
2100628,11,1
210600,11,6
2113314,11,2
211939,11,5
212106,11,2
2129076,11,7
2134015,11,2
2142315,11,3
214334,11,2
2144987,11,1
214738,11,4
2150229,11,10
215232,11,6
2152392,11,2
215479,11,5
216072,11,1
2165027,11,4
2170669,11,2
2172518,11,1
2172684,11,8
2173206,11,7
2184296,11,3
2194420,11,1
2195041,11,1
219754,11,2
2202147,11,4
2202684,11,8
220479,11,8
221260,11,7
2216468,11,2
221667,11,4
2219235,11,6
222075,11,3
222724,11,4
222729,11,8
2228315,11,1
222959,11,5
223061,11,2
223090,11,4
223117,11,4
2239237,11,3
224378,11,3
2245030,11,2
225105,11,4
2251626,11,7
2254258,11,4
225488,11,2
225565,11,3
225794,11,2
2257949,11,7
225877,11,3
2262816,11,1
2264550,11,1
2268800,11,3
227192,11,2
2273267,11,3
227477,11,2
228221,11,2
228252,11,4
228722,11,6
2292593,11,6
2292946,11,4
229370,11,5
229820,11,2
229948,11,3
2303160,11,7
2307793,11,4
2309955,11,5
2311153,11,7
231181,11,2
2326224,11,8
233329,11,5
2337412,11,6
233767,11,6
234442,11,3
234535,11,7
234929,11,1
235082,11,7
2353815,11,6
235421,11,1
2360209,11,1
2361908,11,1
236481,11,7
2365169,11,1
2369641,11,5
237100,11,6
237122,11,3
2372173,11,3
2381864,11,8
2382445,11,1
2384614,11,5
238499,11,3
238699,11,4
239277,11,3
239584,11,5
2397782,11,1
240414,11,6
2407123,11,7
2407430,11,7
241694,11,5
241723,11,4
2424382,11,9
2436866,11,3
2438902,11,2
2439392,11,1
2444337,11,8
245224,11,1
2454,11,4
2467178,11,1
2467361,11,1
246978,11,1
247344,11,2
248074,11,4
248129,11,3
2490656,11,2
2491262,11,4
2491494,11,1
249522,11,4
2496574,11,3
249912,11,5
250021,11,8
2502391,11,2
250370,11,7
250672,11,5
250991,11,2
2515287,11,2
2519892,11,7
252223,11,2
252326,11,2
2531965,11,1
2532139,11,1
253673,11,2
2538184,11,1
2540494,11,3
254233,11,2
254630,11,1
2549559,11,7
2555732,11,4
2555907,11,4
2556890,11,1
2557248,11,4
2564118,11,8
2569765,11,9
25712,11,4
258058,11,3
258194,11,8
2582863,11,6
258318,11,7
258334,11,7
258425,11,2
2597023,11,4
259996,11,10
2603031,11,7
260451,11,7
2609618,11,4
2611472,11,2
2618236,11,1
2618893,11,1
261902,11,7
2626665,11,8
2631843,11,6
2634870,11,6
2637291,11,4
263958,11,5
263994,11,2
2642127,11,1
2645035,11,1
2645314,11,1
2657607,11,3
2659863,11,6
2661332,11,1
266373,11,1
2670877,11,4
2672882,11,6
2674167,11,2
267623,11,4
2676561,11,2
2680539,11,6
268142,11,2
2683601,11,5
268410,11,7
268475,11,4
268531,11,9
2685780,11,2
2686627,11,5
2687601,11,2
268796,11,6
269585,11,2
2695971,11,3
2696090,11,3
2697681,11,6
2700002,11,8
2702377,11,2
2707552,11,1
2707596,11,7
2713512,11,2
2716495,11,3
272264,11,5
2724443,11,3
2728879,11,1
272913,11,2
273088,11,6
2735878,11,3
274018,11,1
2748245,11,1
2751942,11,2
2753530,11,1
2755862,11,8
2758941,11,1
2761181,11,1
2764902,11,1
2767311,11,2
2779626,11,2
2781947,11,8
2784188,11,4
2787812,11,3
2802564,11,2
280845,11,2
2808950,11,1
2810027,11,8
2818491,11,3
2818731,11,11
2825933,11,2
2825946,11,2
282766,11,5
2829029,11,4
2837015,11,7
2837289,11,3
2837378,11,3
2851686,11,4
2853446,11,5
2855251,11,1
286753,11,1
287141,11,4
2873045,11,3
2873722,11,4
28738,11,8
287595,11,2
2879058,11,4
2884292,11,1
2885812,11,2
288674,11,3
2897001,11,5
2909823,11,3
2916521,11,5
2924710,11,3
292531,11,2
292574,11,2
292767,11,7
2930464,11,5
2931142,11,3
293319,11,1
2944326,11,9
2946605,11,2
2947331,11,7
2950220,11,9
2959956,11,3
2961774,11,4
2964607,11,8
2968601,11,4
297797,11,2
2978585,11,3
298685,11,11
299073,11,2
2993866,11,1
2995087,11,3
2997851,11,9
3029623,11,2
303552,11,2
3038249,11,2
3038840,11,5
303993,11,3
304559,11,8
304665,11,5
3047290,11,1
3047833,11,1
305483,11,4
3056665,11,1
3058375,11,9
306297,11,5
306307,11,7
306442,11,3
3065183,11,3
306663,11,3
306802,11,3
3071462,11,3
307249,11,5
3075896,11,2
308080,11,5
3082871,11,3
3085091,11,1
308510,11,8
308565,11,6
308690,11,6
3086916,11,8
3090916,11,2
3091851,11,3
309282,11,4
3098074,11,8
3100770,11,8
310328,11,5
310685,11,1
3107523,11,1
3108106,11,3
3109921,11,6
3111195,11,5
3111463,11,4
3119379,11,6
312244,11,2
3129374,11,2
313929,11,6
3143273,11,7
3149474,11,3
3155346,11,6
3155418,11,9
315841,11,6
316160,11,7
316243,11,6
316319,11,4
3171611,11,6
317498,11,6
3175133,11,3
3177268,11,4
318136,11,6
318730,11,6
3188993,11,5
3189862,11,1
3191081,11,7
3199586,11,3
3202100,11,2
3203338,11,2
3204226,11,4
3205175,11,7
320917,11,3
3222331,11,2
322365,11,8
3232335,11,4
323255,11,6
323273,11,2
323861,11,8
324156,11,1
3242556,11,2
3248853,11,8
325036,11,2
325449,11,5
326013,11,4
32614,11,2
3271974,11,1
327366,11,1
327784,11,3
328098,11,7
328524,11,7
3291789,11,8
329236,11,2
3293941,11,9
3295383,11,3
3295961,11,8
3298954,11,7
3300912,11,7
330165,11,3
3306708,11,2
330956,11,5
3318463,11,4
3319248,11,3
3320140,11,5
3325907,11,4
3336087,11,2
333926,11,1
3344783,11,8
334571,11,1
334772,11,2
3351900,11,1
3352369,11,3
3354953,11,1
336020,11,6
3361085,11,3
336182,11,8
336188,11,5
336226,11,7
336235,11,8
336567,11,3
336658,11,4
3366659,11,1
3367479,11,2
336794,11,6
337679,11,6
